********************************************************************************
Field Output Report, written Thu Jul 06 10:09:12 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_20_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.         37.28        -3.645
             2    -118.2E-33         38.12        -2.663
             3    -79.31E-33         38.12        -1.232
             4    -47.66E-33         38.09    -384.8E-18
             5    -10.88E-33         38.12         1.232
             6     83.26E-33         38.12         2.663
             7            0.         37.28         3.645
             8    -215.3E-33         36.38        -2.758
             9    -346.5E-33         37.18        -1.918
            10    -161.3E-33         37.15    -988.4E-03
            11    -45.84E-33         37.14    -297.3E-18
            12     75.42E-33         37.15     988.4E-03
            13     315.9E-33         37.18         1.918
            14     215.3E-33         36.38         2.758
            15    -217.3E-33         35.66        -1.898
            16    -359.0E-33         36.59        -1.324
            17    -166.7E-33         36.63    -691.8E-03
            18    -42.74E-33         36.61    -14.41E-18
            19     89.64E-33         36.63     691.8E-03
            20     332.3E-33         36.59         1.324
            21     217.3E-33         35.66         1.898
            22    -217.7E-33         35.26        -1.237
            23    -361.3E-33         36.23    -880.4E-03
            24    -168.2E-33         36.31    -454.5E-03
            25    -41.14E-33         36.32     379.4E-18
            26     92.86E-33         36.31     454.5E-03
            27     334.4E-33         36.23     880.4E-03
            28     217.7E-33         35.26         1.237
            29    -217.7E-33         35.02    -737.4E-03
            30    -361.1E-33         36.03    -531.2E-03
            31    -168.1E-33         36.13    -276.2E-03
            32    -40.84E-33         36.14    -276.1E-18
            33     93.23E-33         36.13     276.2E-03
            34     334.4E-33         36.03     531.2E-03
            35     217.7E-33         35.02     737.4E-03
            36    -217.8E-33         34.90    -343.3E-03
            37    -360.7E-33         35.92    -249.3E-03
            38    -168.0E-33         36.03    -130.0E-03
            39    -40.82E-33         36.05    -20.86E-18
