********************************************************************************
Field Output Report, written Thu Jul 06 10:08:59 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_10_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            0.         38.24        -4.179
             2    -41.54E-33         38.78        -3.522
             3    -31.78E-33         38.85        -2.684
             4    -25.09E-33         38.83        -1.972
             5    -20.23E-33         38.77        -1.290
             6    -16.22E-33         38.73    -638.8E-03
             7    -12.52E-33         38.72    -127.6E-18
             8    -8.583E-33         38.73     638.8E-03
             9    -3.899E-33         38.77         1.290
            10     2.545E-33         38.83         1.972
            11     11.47E-33         38.85         2.684
            12     33.38E-33         38.78         3.522
            13           -0.         38.24         4.179
            14    -65.26E-33         37.61        -3.590
            15    -124.8E-33         38.13        -2.989
            16    -81.20E-33         38.21        -2.370
            17    -56.71E-33         38.22        -1.745
            18    -39.05E-33         38.20        -1.151
            19    -24.98E-33         38.17    -570.9E-03
            20    -12.37E-33         38.16     545.7E-18
            21     480.4E-36         38.17     570.9E-03
            22     15.28E-33         38.20         1.151
            23     34.59E-33         38.22         1.745
            24     61.58E-33         38.21         2.370
            25     117.4E-33         38.13         2.989
            26     65.26E-33         37.61         3.590
            27    -66.39E-33         37.05        -2.997
            28    -130.0E-33         37.64        -2.514
            29    -85.51E-33         37.76        -2.021
            30    -59.88E-33         37.78        -1.512
            31    -40.99E-33         37.76        -1.003
            32    -25.78E-33         37.74    -499.8E-03
            33    -12.02E-33         37.73     47.37E-18
            34     1.988E-33         37.74     499.8E-03
            35     18.03E-33         37.76         1.003
            36     38.56E-33         37.78         1.512
            37     67.30E-33         37.76         2.021
            38     123.2E-33         37.64         2.514
            39     66.39E-33         37.05         2.997
            40    -66.93E-33         36.64        -2.479
            41    -132.2E-33         37.25        -2.101
