********************************************************************************
Field Output Report, written Thu Jul 06 10:09:25 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_5_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           149     40.97E-33         37.45         2.574
           150     19.69E-33         37.07         2.791
           151    -19.75E-33         36.87        -2.532
           152    -43.10E-33         37.26        -2.342
           153    -32.89E-33         37.42        -2.143
           154    -26.88E-33         37.52        -1.937
           155    -22.31E-33         37.57        -1.726
           156    -18.65E-33         37.60        -1.513
           157    -15.60E-33         37.61        -1.298
           158    -12.98E-33         37.61        -1.082
           159    -10.67E-33         37.60    -865.0E-03
           160    -8.584E-33         37.59    -648.6E-03
           161    -6.656E-33         37.58    -432.2E-03
           162    -4.825E-33         37.58    -216.1E-03
           163    -3.038E-33         37.58     105.2E-18
           164    -1.243E-33         37.58     216.1E-03
           165     611.2E-36         37.58     432.2E-03
           166     2.579E-33         37.59     648.6E-03
           167     4.722E-33         37.60     865.0E-03
           168     7.114E-33         37.61         1.082
           169     9.847E-33         37.61         1.298
           170     13.05E-33         37.60         1.513
           171     16.92E-33         37.57         1.726
           172     21.84E-33         37.52         1.937
           173     28.43E-33         37.42         2.143
           174     41.17E-33         37.26         2.342
           175     19.75E-33         36.87         2.532
           176    -19.78E-33         36.69        -2.294
           177    -43.23E-33         37.10        -2.127
           178    -33.05E-33         37.26        -1.950
           179    -27.04E-33         37.36        -1.766
           180    -22.47E-33         37.42        -1.578
           181    -18.81E-33         37.45        -1.385
           182    -15.75E-33         37.46        -1.190
           183    -13.11E-33         37.47    -993.0E-03
           184    -10.77E-33         37.46    -795.2E-03
           185    -8.663E-33         37.45    -596.7E-03
           186    -6.706E-33         37.45    -397.9E-03
           187    -4.846E-33         37.44    -199.0E-03
           188    -3.029E-33         37.44    -230.6E-18
           189    -1.204E-33         37.44     199.0E-03
           190     679.1E-36         37.45     397.9E-03
           191     2.675E-33         37.45     596.7E-03
           192     4.844E-33         37.46     795.2E-03
           193     7.258E-33         37.47     993.0E-03
           194     10.01E-33         37.46         1.190
           195     13.22E-33         37.45         1.385
           196     17.10E-33         37.42         1.578
           197     22.01E-33         37.36         1.766
           198     28.58E-33         37.26         1.950
           199     41.30E-33         37.10         2.127
           200     19.78E-33         36.69         2.294
           201    -19.80E-33         36.54        -2.074
           202    -43.30E-33         36.95        -1.927
           203    -33.14E-33         37.12        -1.770
           204    -27.15E-33         37.23        -1.606
           205    -22.59E-33         37.29        -1.437
           206    -18.93E-33         37.32        -1.264
           207    -15.85E-33         37.34        -1.087
           208    -13.20E-33         37.34    -908.3E-03
           209    -10.85E-33         37.34    -728.1E-03
           210    -8.720E-33         37.33    -546.8E-03
           211    -6.743E-33         37.33    -364.8E-03
           212    -4.861E-33         37.32    -182.5E-03
           213    -3.022E-33         37.32    -282.4E-18
           214    -1.175E-33         37.32     182.5E-03
           215     729.8E-36         37.33     364.8E-03
           216     2.746E-33         37.33     546.8E-03
           217     4.932E-33         37.34     728.1E-03
           218     7.361E-33         37.34     908.3E-03
           219     10.12E-33         37.34         1.087
