********************************************************************************
Field Output Report, written Thu Jul 06 10:09:18 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.         38.50        -4.483
             2     38.77E-33         39.03        -2.727
             3     23.91E-33         38.90        -1.304
             4     13.39E-33         38.85     62.69E-18
             5    -4.076E-33         38.90         1.304
             6    -37.97E-33         39.03         2.727
             7           -0.         38.50         4.483
             8     34.05E-33         37.11        -3.075
             9     115.3E-33         37.89        -2.045
            10     52.95E-33         37.87        -1.010
            11     13.18E-33         37.85     1.410E-15
            12    -33.60E-33         37.87         1.010
            13    -115.8E-33         37.89         2.045
            14    -34.05E-33         37.11         3.075
            15     35.47E-33         36.36        -2.077
            16     118.9E-33         37.23        -1.438
            17     53.59E-33         37.27    -727.6E-03
            18     11.13E-33         37.26    -155.1E-18
            19    -38.31E-33         37.27     727.6E-03
            20    -121.7E-33         37.23         1.438
            21    -35.47E-33         36.36         2.077
            22     35.77E-33         35.92        -1.350
            23     119.9E-33         36.84    -955.5E-03
            24     53.83E-33         36.91    -490.7E-03
            25     10.47E-33         36.91     511.6E-18
            26    -39.59E-33         36.91     490.7E-03
            27    -122.7E-33         36.84     955.5E-03
            28    -35.77E-33         35.92         1.350
            29     36.01E-33         35.66    -806.4E-03
            30     120.2E-33         36.62    -578.3E-03
            31     53.94E-33         36.70    -299.6E-03
            32     10.36E-33         36.71     1.293E-15
            33    -39.77E-33         36.70     299.6E-03
            34    -122.6E-33         36.62     578.3E-03
            35    -36.01E-33         35.66     806.4E-03
            36     36.23E-33         35.52    -376.4E-03
            37     120.3E-33         36.50    -271.7E-03
            38     54.05E-33         36.59    -141.4E-03
            39     10.43E-33         36.60     643.4E-18
