********************************************************************************
Field Output Report, written Thu Jul 06 10:09:05 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_10_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            0.         38.72        -4.575
             2     13.71E-33         39.10        -3.570
             3     10.03E-33         39.11        -2.741
             4     8.136E-33         39.07        -1.998
             5     6.548E-33         39.00        -1.306
             6     5.207E-33         38.95    -645.9E-03
             7     3.902E-33         38.94     1.477E-15
             8     2.457E-33         38.95     645.9E-03
             9     655.7E-36         39.00         1.306
            10    -1.823E-33         39.07         1.998
            11    -5.971E-33         39.11         2.741
            12    -13.57E-33         39.10         3.570
            13           -0.         38.72         4.575
            14     12.77E-33         37.87        -3.751
            15     41.44E-33         38.38        -3.065
            16     26.86E-33         38.45        -2.399
            17     18.77E-33         38.45        -1.767
            18     12.89E-33         38.42        -1.163
            19     8.177E-33         38.38    -576.6E-03
            20     3.893E-33         38.37     1.027E-15
            21    -532.7E-36         38.38     576.6E-03
            22    -5.713E-33         38.42         1.163
            23    -12.51E-33         38.45         1.767
            24    -22.88E-33         38.45         2.399
            25    -41.59E-33         38.38         3.065
            26    -12.77E-33         37.87         3.751
            27     13.30E-33         37.29        -3.095
            28     43.10E-33         37.85        -2.584
            29     28.07E-33         37.97        -2.055
            30     19.63E-33         37.99        -1.530
            31     13.40E-33         37.97        -1.013
            32     8.333E-33         37.95    -504.3E-03
            33     3.689E-33         37.94     345.7E-18
            34    -1.108E-33         37.95     504.3E-03
            35    -6.681E-33         37.97         1.013
            36    -13.89E-33         37.99         1.530
            37    -24.68E-33         37.97         2.055
            38    -43.57E-33         37.85         2.584
            39    -13.30E-33         37.29         3.095
            40     13.48E-33         36.87        -2.548
            41     43.88E-33         37.46        -2.155
            42     28.74E-33         37.60        -1.733
