********************************************************************************
Field Output Report, written Thu Jul 06 10:10:02 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_UNIAX_FORCE_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           165            5.    -900.0E-03        -1.200
           166            5.    -600.0E-03        -1.200
           167            5.    -300.0E-03        -1.200
           168            5.           -0.        -1.200
           169            5.        -1.800    -900.0E-03
           170            5.          -1.5    -900.0E-03
           171            5.        -1.200    -900.0E-03
           172            5.    -900.0E-03    -900.0E-03
           173            5.    -600.0E-03    -900.0E-03
           174            5.    -300.0E-03    -900.0E-03
           175            5.           -0.    -900.0E-03
           176            5.        -1.800    -600.0E-03
           177            5.          -1.5    -600.0E-03
           178            5.        -1.200    -600.0E-03
           179            5.    -900.0E-03    -600.0E-03
           180            5.    -600.0E-03    -600.0E-03
           181            5.    -300.0E-03    -600.0E-03
           182            5.            0.    -600.0E-03
           183            5.        -1.800    -300.0E-03
           184            5.          -1.5    -300.0E-03
           185            5.        -1.200    -300.0E-03
           186            5.    -900.0E-03    -300.0E-03
           187            5.    -600.0E-03    -300.0E-03
           188            5.    -300.0E-03    -300.0E-03
           189            5.           -0.    -300.0E-03
           190            5.        -1.800            0.
           191            5.          -1.5            0.
           192            5.        -1.200           -0.
           193            5.    -900.0E-03           -0.
           194            5.    -600.0E-03           -0.
           195            5.    -300.0E-03           -0.
           196            5.           -0.           -0.
           197            4.        -1.800        -1.800
           198            4.          -1.5        -1.800
           199            4.        -1.200        -1.800
           200            4.    -900.0E-03        -1.800
           201            4.    -600.0E-03        -1.800
           202            4.    -300.0E-03        -1.800
           203            4.           -0.        -1.800
           204            4.        -1.800          -1.5
           205            4.          -1.5          -1.5
           206            4.        -1.200          -1.5
           207            4.    -900.0E-03          -1.5
           208            4.    -600.0E-03          -1.5
           209            4.    -300.0E-03          -1.5
           210            4.           -0.          -1.5
           211            4.        -1.800        -1.200
           212            4.          -1.5        -1.200
           213            4.        -1.200        -1.200
           214            4.    -900.0E-03        -1.200
