********************************************************************************
Field Output Report, written Thu Jul 06 10:08:08 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_FORCE_ELASTIC_elemSize_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2         1.583         1.164
             3         2.744         2.119
             4         3.716         3.106
             5         4.571         4.121
             6         5.334         5.176
             7         6.015         6.273
             8         6.624         7.410
             9         7.163         8.586
            10         7.636         9.796
            11         8.044         11.04
            12         8.388         12.31
            13         8.669         13.60
            14         8.888         14.91
            15         9.044         16.24
            16         9.138         17.57
            17         9.170         18.91
            18         9.140         20.25
            19         9.048         21.59
            20         8.894         22.92
            21         8.677         24.23
            22         8.398         25.52
            23         8.055         26.79
            24         7.649         28.03
            25         7.177         29.25
            26         6.638         30.42
            27         6.029         31.56
            28         5.344         32.65
            29         4.577         33.70
            30         3.713         34.70
            31         2.723         35.65
            32         1.544         36.55
            33           -0.         37.30
            34     6.085E-33     2.499E-33
            35     953.2E-03     828.8E-03
            36         1.956         1.839
            37         2.848         2.849
            38         3.640         3.891
            39         4.348         4.970
            40         4.981         6.088
            41         5.545         7.245
            42         6.045         8.440
            43         6.482         9.669
            44         6.859         10.93
            45         7.177         12.22
            46         7.436         13.53
            47         7.638         14.86
            48         7.782         16.20
            49         7.869         17.55
            50         7.899         18.91
            51         7.871         20.27
            52         7.786         21.63
            53         7.644         22.97
            54         7.444         24.30
            55         7.186         25.61
            56         6.870         26.90
            57         6.495         28.16
            58         6.058         29.39
            59         5.560         30.59
            60         4.997         31.74
            61         4.365         32.86
            62         3.658         33.93
            63         2.868         34.96
            64         1.985         35.94
            65         1.007         36.86
            66     6.126E-33         37.63
            67     4.951E-33     2.221E-33
            68     729.2E-03     721.0E-03
            69         1.477         1.637
            70         2.217         2.644
            71         2.907         3.695
            72         3.536         4.788
            73         4.105         5.923
            74         4.615         7.097
            75         5.069         8.308
            76         5.467         9.554
            77         5.810         10.83
            78         6.100         12.13
            79         6.337         13.46
            80         6.521         14.81
            81         6.653         16.17
            82         6.732         17.54
            83         6.759         18.91
            84         6.734         20.29
            85         6.656         21.66
            86         6.527         23.02
            87         6.344         24.36
            88         6.109         25.69
            89         5.821         27.00
            90         5.480         28.28
            91         5.084         29.52
            92         4.632         30.73
            93         4.124         31.91
            94         3.559         33.04
            95         2.934         34.13
            96         2.252         35.17
            97         1.521         36.14
            98     764.2E-03         37.03
            99     5.066E-33         37.77
           100     4.196E-33     2.033E-33
           101     579.5E-03     680.6E-03
           102         1.170         1.534
           103         1.762         2.503
           104         2.336         3.545
           105         2.875         4.641
           106         3.371         5.784
           107         3.821         6.969
           108         4.223         8.193
           109         4.579         9.453
           110         4.886         10.74
           111         5.146         12.06
           112         5.359         13.40
           113         5.525         14.76
           114         5.643         16.14
           115         5.715         17.52
           116         5.739         18.91
           117         5.717         20.30
           118         5.647         21.69
           119         5.530         23.06
           120         5.366         24.42
           121         5.155         25.77
           122         4.897         27.08
           123         4.591         28.38
           124         4.239         29.64
           125         3.838         30.86
