********************************************************************************
Field Output Report, written Thu Jul 06 10:10:10 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_UNIAX_FORCE_ELASTIC_elem_5_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            8.        -1.800        -1.800
             2            8.        -1.725        -1.800
             3            8.        -1.650        -1.800
             4            8.        -1.575        -1.800
             5            8.          -1.5        -1.800
             6            8.        -1.425        -1.800
             7            8.        -1.350        -1.800
             8            8.        -1.275        -1.800
             9            8.        -1.200        -1.800
            10            8.        -1.125        -1.800
            11            8.        -1.050        -1.800
            12            8.    -975.0E-03        -1.800
            13            8.    -900.0E-03        -1.800
            14            8.    -825.0E-03        -1.800
            15            8.     -750.E-03        -1.800
            16            8.    -675.0E-03        -1.800
            17            8.    -600.0E-03        -1.800
            18            8.    -525.0E-03        -1.800
            19            8.    -450.0E-03        -1.800
            20            8.     -375.E-03        -1.800
            21            8.    -300.0E-03        -1.800
            22            8.    -225.0E-03        -1.800
            23            8.    -150.0E-03        -1.800
            24            8.    -75.00E-03        -1.800
            25            8.           -0.        -1.800
            26            8.        -1.800        -1.725
            27            8.        -1.725        -1.725
            28            8.        -1.650        -1.725
            29            8.        -1.575        -1.725
            30            8.          -1.5        -1.725
            31            8.        -1.425        -1.725
            32            8.        -1.350        -1.725
            33            8.        -1.275        -1.725
            34            8.        -1.200        -1.725
            35            8.        -1.125        -1.725
            36            8.        -1.050        -1.725
            37            8.    -975.0E-03        -1.725
            38            8.    -900.0E-03        -1.725
            39            8.    -825.0E-03        -1.725
            40            8.     -750.E-03        -1.725
            41            8.    -675.0E-03        -1.725
            42            8.    -600.0E-03        -1.725
            43            8.    -525.0E-03        -1.725
            44            8.    -450.0E-03        -1.725
            45            8.     -375.E-03        -1.725
            46            8.    -300.0E-03        -1.725
