********************************************************************************
Field Output Report, written Thu Jul 06 10:08:14 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_FORCE_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2         1.653         1.168
             3         2.772         2.151
             4         3.739         3.134
             5         4.593         4.147
             6         5.355         5.203
             7         6.038         6.300
             8         6.646         7.438
             9         7.186         8.615
            10         7.659         9.828
            11         8.067         11.07
            12         8.412         12.34
            13         8.693         13.64
            14         8.912         14.95
            15         9.068         16.28
            16         9.162         17.62
            17         9.194         18.96
            18         9.164         20.30
            19         9.072         21.64
            20         8.917         22.97
            21         8.700         24.28
            22         8.420         25.58
            23         8.076         26.85
            24         7.669         28.10
            25         7.197         29.31
            26         6.657         30.49
            27         6.048         31.62
            28         5.364         32.72
            29         4.597         33.77
            30         3.736         34.77
            31         2.754         35.73
            32         1.612         36.64
            33           -0.         37.43
            34     2.073E-33     915.2E-36
            35         1.014     880.4E-03
            36         1.984         1.862
            37         2.874         2.875
            38         3.663         3.916
            39         4.370         4.995
            40         5.002         6.114
            41         5.566         7.273
            42         6.066         8.469
            43         6.503         9.701
            44         6.881         10.96
            45         7.199         12.25
            46         7.458         13.57
            47         7.660         14.90
            48         7.804         16.24
            49         7.891         17.60
            50         7.920         18.96
            51         7.892         20.32
            52         7.807         21.68
            53         7.665         23.02
            54         7.464         24.36
            55         7.206         25.67
            56         6.889         26.96
            57         6.513         28.22
            58         6.077         29.45
            59         5.578         30.65
            60         5.015         31.81
            61         4.383         32.93
            62         3.677         34.00
            63         2.889         35.03
            64         2.006         36.02
            65         1.035         36.95
            66     2.152E-33         37.75
            67     1.734E-33     786.8E-36
            68     738.1E-03     740.0E-03
            69         1.502         1.666
            70         2.242         2.669
            71         2.929         3.719
            72         3.557         4.813
            73         4.125         5.949
            74         4.635         7.124
            75         5.089         8.338
            76         5.487         9.585
            77         5.830         10.86
            78         6.120         12.17
            79         6.357         13.50
            80         6.541         14.85
            81         6.672         16.21
            82         6.751         17.58
            83         6.778         18.96
            84         6.753         20.34
            85         6.675         21.71
            86         6.545         23.07
            87         6.362         24.42
            88         6.127         25.75
            89         5.839         27.06
            90         5.497         28.34
            91         5.100         29.59
            92         4.648         30.80
            93         4.140         31.97
            94         3.575         33.11
            95         2.950         34.20
            96         2.268         35.24
            97         1.535         36.22
            98     769.2E-03         37.12
            99     1.779E-33         37.87
           100     1.435E-33     695.5E-36
           101     584.9E-03     693.5E-03
           102         1.183         1.557
           103         1.780         2.528
           104         2.355         3.570
           105         2.894         4.666
           106         3.389         5.810
           107         3.839         6.997
           108         4.241         8.223
           109         4.597         9.484
           110         4.904         10.78
           111         5.164         12.10
           112         5.377         13.44
           113         5.542         14.80
           114         5.661         16.18
           115         5.732         17.57
           116         5.756         18.96
           117         5.734         20.35
           118         5.664         21.74
           119         5.547         23.12
           120         5.382         24.48
           121         5.171         25.82
           122         4.912         27.15
           123         4.607         28.44
           124         4.253         29.70
           125         3.853         30.93
