********************************************************************************
Field Output Report, written Thu Jul 06 10:07:50 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_FORCE_ELASTIC_elemSize_10_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2         2.787         2.114
             3         4.587         4.129
             4         6.031         6.289
             5         7.180         8.602
             6         8.062         11.06
             7         8.688         13.62
             8         9.063         16.27
             9         9.190         18.94
            10         9.068         21.62
            11         8.696         24.27
            12         8.074         26.83
            13         7.195         29.29
            14         6.046         31.61
            15         4.593         33.75
            16         2.778         35.73
            17            0.         37.35
            18     3.227E-33     1.493E-33
            19         1.519         1.666
            20         2.916         3.701
            21         4.120         5.937
            22         5.083         8.324
            23         5.825         10.85
            24         6.352         13.49
            25         6.668         16.20
            26         6.775         18.94
            27         6.672         21.69
            28         6.360         24.40
            29         5.836         27.04
            30         5.098         29.57
            31         4.139         31.96
            32         2.947         34.18
            33         1.544         36.20
            34     3.426E-33         37.85
            35     2.514E-33     1.275E-33
            36     945.6E-03         1.486
            37         1.897         3.453
            38         2.769         5.688
            39         3.505         8.113
            40         4.086         10.69
            41         4.503         13.38
            42         4.755         16.14
            43         4.840         18.94
            44         4.758         21.75
            45         4.510         24.51
            46         4.096         27.20
            47         3.519         29.78
            48         2.788         32.20
            49         1.922         34.43
            50     970.6E-03         36.40
            51     2.596E-33         37.95
            52     1.915E-33     1.124E-33
            53     616.6E-03         1.460
            54         1.227         3.347
            55         1.809         5.547
            56         2.322         7.976
            57         2.739         10.57
            58         3.044         13.29
            59         3.230         16.10
            60         3.293         18.94
            61         3.232         21.79
            62         3.049         24.59
            63         2.747         27.32
            64         2.333         29.91
            65         1.822         32.34
            66         1.240         34.55
            67     623.0E-03         36.45
            68     1.973E-33         37.97
            69     1.513E-33     1.024E-33
            70     374.5E-03         1.466
            71     740.4E-03         3.314
            72         1.093         5.482
            73         1.411         7.899
            74         1.676         10.50
            75         1.873         13.24
            76         1.994         16.07
            77         2.035         18.94
            78         1.996         21.81
            79         1.877         24.64
            80         1.681         27.39
            81         1.418         29.99
            82         1.099         32.41
            83     744.4E-03         34.59
            84     373.4E-03         36.46
            85     1.529E-33         37.95
            86     1.166E-33     933.9E-36
            87     177.7E-03         1.478
            88     349.4E-03         3.310
            89     515.0E-03         5.457
            90     666.4E-03         7.862
            91     794.0E-03         10.47
            92     890.0E-03         13.21
            93     949.4E-03         16.06
            94     969.8E-03         18.94
            95     950.4E-03         21.83
            96     891.9E-03         24.67
            97     796.7E-03         27.42
            98     669.5E-03         30.03
            99     517.3E-03         32.44
           100     349.6E-03         34.60
           101     175.4E-03         36.44
           102     1.164E-33         37.93
           103     839.9E-36     839.1E-36
           104    -249.3E-18         1.483
           105    -669.3E-18         3.311
           106    -632.6E-18         5.451
           107    -1.076E-15         7.852
           108    -963.9E-18         10.46
           109    -141.6E-18         13.21
           110    -380.4E-18         16.05
           111     176.6E-18         18.94
           112    -1.811E-15         21.83
           113     1.434E-15         24.68
           114     1.445E-15         27.43
