********************************************************************************
Field Output Report, written Thu Jul 06 10:08:02 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_FORCE_ELASTIC_elemSize_20_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2         4.608         4.058
             3         7.163         8.554
             4         8.672         13.58
             5         9.178         18.89
             6         8.687         24.21
             7         7.182         29.23
             8         4.639         33.74
             9            0.         37.18
            10     4.593E-33     2.406E-33
            11         1.926         3.442
            12         3.481         8.064
            13         4.494         13.33
            14         4.831         18.89
            15         4.504         24.46
            16         3.510         29.72
            17         1.940         34.37
            18     4.925E-33         37.89
            19     3.063E-33     2.025E-33
            20     732.6E-03         3.277
            21         1.405         7.857
            22         1.868         13.20
            23         2.031         18.89
            24         1.874         24.59
            25         1.416         29.94
            26     743.8E-03         34.53
            27     3.101E-33         37.88
            28     1.631E-33     1.631E-33
            29     205.9E-18         3.285
            30    -5.970E-18         7.815
            31     733.7E-18         13.16
            32    -36.06E-18         18.89
            33    -198.8E-18         24.63
            34     2.273E-15         29.98
            35     2.600E-15         34.54
            36     1.668E-33         37.86
            37     386.0E-36     1.085E-33
            38    -732.6E-03         3.277
            39        -1.405         7.857
            40        -1.868         13.20
            41        -2.031         18.89
            42        -1.874         24.59
            43        -1.416         29.94
            44    -743.8E-03         34.53
            45     431.7E-36         37.88
            46    -2.270E-33     1.346E-33
            47        -1.926         3.442
            48        -3.481         8.064
            49        -4.494         13.33
            50        -4.831         18.89
            51        -4.504         24.46
            52        -3.510         29.72
            53        -1.940         34.37
            54    -2.077E-33         37.89
            55            0.            0.
            56        -4.608         4.058
            57        -7.163         8.554
            58        -8.672         13.58
            59        -9.178         18.89
            60        -8.687         24.21
            61        -7.182         29.23
            62        -4.639         33.74
            63           -0.         37.18
            64         2.552         1.993
            65         2.871         3.610
            66     924.4E-03         1.437
            67            0.            0.
            68         6.054         6.258
            69         5.073         8.295
            70         2.759         5.645
            71         8.044         11.01
            72         6.340         13.44
            73         4.072         10.64
            74         9.050         16.22
            75         6.765         18.89
            76         4.746         16.09
            77         9.057         21.57
            78         6.352         24.35
            79         4.751         21.69
            80         8.064         26.78
            81         5.097         29.51
            82         4.089         27.15
            83         6.069         31.54
            84         2.922         34.14
            85         2.788         32.15
            86         2.605         35.68
            87            0.         37.75
            88     944.8E-03         36.33
            89         1.222         3.317
            90     381.5E-03         1.450
            91            0.            0.
            92         2.313         7.933
            93         1.085         5.447
            94         3.035         13.25
            95         1.668         10.46
            96         3.287         18.89
            97         1.989         16.02
            98         3.044         24.54
            99         1.992         21.76
           100         2.329         29.86
           101         1.677         27.33
           102         1.240         34.50
           103         1.095         32.36
           104            0.         37.90
           105     380.7E-03         36.39
           106     345.8E-03         3.282
           107     179.9E-18         1.472
           108            0.            0.
           109     662.5E-03         7.821
           110     425.1E-18         5.415
           111     886.9E-03         13.17
           112     686.7E-18         10.41
           113     967.6E-03         18.89
           114     987.0E-18         16.00
           115     890.1E-03         24.62
           116     1.121E-15         21.78
           117     667.8E-03         29.97
           118     2.082E-15         27.38
           119     349.1E-03         34.54
           120     3.676E-15         32.39
           121            0.         37.87
           122     942.6E-18         36.37
           123    -345.8E-03         3.282
           124    -381.5E-03         1.450
           125            0.            0.
           126    -662.5E-03         7.821
           127        -1.085         5.447
           128    -886.9E-03         13.17
           129        -1.668         10.46
           130    -967.6E-03         18.89
           131        -1.989         16.02
           132    -890.1E-03         24.62
           133        -1.992         21.76
           134    -667.8E-03         29.97
           135        -1.677         27.33
           136    -349.1E-03         34.54
           137        -1.095         32.36
           138            0.         37.87
           139    -380.7E-03         36.39
           140        -1.222         3.317
           141    -924.4E-03         1.437
           142           -0.            0.
           143        -2.313         7.933
           144        -2.759         5.645
           145        -3.035         13.25
           146        -4.072         10.64
           147        -3.287         18.89
           148        -4.746         16.09
           149        -3.044         24.54
           150        -4.751         21.69
           151        -2.329         29.86
           152        -4.089         27.15
           153        -1.240         34.50
           154        -2.788         32.15
           155            0.         37.90
           156    -944.8E-03         36.33
           157        -2.871         3.610
           158        -2.552         1.993
           159           -0.            0.
           160        -5.073         8.295
           161        -6.054         6.258
           162        -6.340         13.44
           163        -8.044         11.01
           164        -6.765         18.89
           165        -9.050         16.22
           166        -6.352         24.35
           167        -9.057         21.57
           168        -5.097         29.51
           169        -8.064         26.78
           170        -2.922         34.14
           171        -6.069         31.54
           172           -0.         37.75
           173        -2.605         35.68


  Minimum             -9.178            0.
       At Node            59           159

  Maximum              9.178         37.90
       At Node             5           155

         Total            0.     3.268E+03


