********************************************************************************
Field Output Report, written Wed Jul 05 09:17:07 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_10_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.           -0.
             2      500.E-03            0.
             3            1.            0.
             4           1.5           -0.
             5            2.            0.
             6           2.5           -0.
             7            3.           -0.
             8           3.5            0.
             9            4.           -0.
            10           4.5           -0.
            11            5.            0.
            12           5.5           -0.
            13            6.            0.
            14           6.5            0.
            15            7.            0.
            16           7.5            0.
            17            8.            0.
            18     833.3E-36    -150.0E-03
            19      500.E-03    -150.0E-03
            20            1.    -150.0E-03
            21           1.5    -150.0E-03
            22            2.    -150.0E-03
            23           2.5    -150.0E-03
            24            3.    -150.0E-03
            25           3.5    -150.0E-03
            26            4.    -150.0E-03
            27           4.5    -150.0E-03
            28            5.    -150.0E-03
            29           5.5    -150.0E-03
            30            6.    -150.0E-03
            31           6.5    -150.0E-03
            32            7.    -150.0E-03
            33           7.5    -150.0E-03
            34            8.    -150.0E-03
            35     833.3E-36    -300.0E-03
            36      500.E-03    -300.0E-03
            37            1.    -300.0E-03
            38           1.5    -300.0E-03
            39            2.    -300.0E-03
            40           2.5    -300.0E-03
            41            3.    -300.0E-03
            42           3.5    -300.0E-03
            43            4.    -300.0E-03
            44           4.5    -300.0E-03
            45            5.    -300.0E-03
            46           5.5    -300.0E-03
            47            6.    -300.0E-03
            48           6.5    -300.0E-03
            49            7.    -300.0E-03
            50           7.5    -300.0E-03
            51            8.    -300.0E-03
            52     833.3E-36    -450.0E-03
            53      500.E-03    -450.0E-03
            54            1.    -450.0E-03
            55           1.5    -450.0E-03
            56            2.    -450.0E-03
            57           2.5    -450.0E-03
            58            3.    -450.0E-03
            59           3.5    -450.0E-03
            60            4.    -450.0E-03
            61           4.5    -450.0E-03
            62            5.    -450.0E-03
            63           5.5    -450.0E-03
            64            6.    -450.0E-03
            65           6.5    -450.0E-03
            66            7.    -450.0E-03
            67           7.5    -450.0E-03
            68            8.    -450.0E-03
            69     833.3E-36    -600.0E-03
            70      500.E-03    -600.0E-03
            71            1.    -600.0E-03
            72           1.5    -600.0E-03
            73            2.    -600.0E-03
            74           2.5    -600.0E-03
            75            3.    -600.0E-03
            76           3.5    -600.0E-03
            77            4.    -600.0E-03
            78           4.5    -600.0E-03
            79            5.    -600.0E-03
            80           5.5    -600.0E-03
            81            6.    -600.0E-03
            82           6.5    -600.0E-03
            83            7.    -600.0E-03
            84           7.5    -600.0E-03
            85            8.    -600.0E-03
            86     833.3E-36     -750.E-03
            87      500.E-03     -750.E-03
            88            1.     -750.E-03
            89           1.5     -750.E-03
            90            2.     -750.E-03
            91           2.5     -750.E-03
            92            3.     -750.E-03
            93           3.5     -750.E-03
            94            4.     -750.E-03
            95           4.5     -750.E-03
            96            5.     -750.E-03
            97           5.5     -750.E-03
            98            6.     -750.E-03
            99           6.5     -750.E-03
           100            7.     -750.E-03
           101           7.5     -750.E-03
           102            8.     -750.E-03
