********************************************************************************
Field Output Report, written Tue Jul 04 09:15:07 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           210          2.75    -450.0E-03
           211            3.    -450.0E-03
           212          3.25    -450.0E-03
           213           3.5    -450.0E-03
           214          3.75    -450.0E-03
           215            4.    -450.0E-03
           216          4.25    -450.0E-03
           217           4.5    -450.0E-03
           218          4.75    -450.0E-03
           219            5.    -450.0E-03
           220          5.25    -450.0E-03
           221           5.5    -450.0E-03
           222          5.75    -450.0E-03
           223            6.    -450.0E-03
           224          6.25    -450.0E-03
           225           6.5    -450.0E-03
           226          6.75    -450.0E-03
           227            7.    -450.0E-03
           228          7.25    -450.0E-03
           229           7.5    -450.0E-03
           230          7.75    -450.0E-03
           231            8.    -450.0E-03
           232     1.250E-33    -525.0E-03
           233      250.E-03    -525.0E-03
           234      500.E-03    -525.0E-03
           235      750.E-03    -525.0E-03
           236            1.    -525.0E-03
           237          1.25    -525.0E-03
           238           1.5    -525.0E-03
           239          1.75    -525.0E-03
           240            2.    -525.0E-03
           241          2.25    -525.0E-03
           242           2.5    -525.0E-03
           243          2.75    -525.0E-03
           244            3.    -525.0E-03
           245          3.25    -525.0E-03
           246           3.5    -525.0E-03
           247          3.75    -525.0E-03
           248            4.    -525.0E-03
           249          4.25    -525.0E-03
           250           4.5    -525.0E-03
           251          4.75    -525.0E-03
           252            5.    -525.0E-03
           253          5.25    -525.0E-03
           254           5.5    -525.0E-03
           255          5.75    -525.0E-03
           256            6.    -525.0E-03
           257          6.25    -525.0E-03
           258           6.5    -525.0E-03
           259          6.75    -525.0E-03
           260            7.    -525.0E-03
           261          7.25    -525.0E-03
           262           7.5    -525.0E-03
           263          7.75    -525.0E-03
           264            8.    -525.0E-03
           265     1.250E-33    -600.0E-03
           266      250.E-03    -600.0E-03
           267      500.E-03    -600.0E-03
           268      750.E-03    -600.0E-03
           269            1.    -600.0E-03
           270          1.25    -600.0E-03
           271           1.5    -600.0E-03
           272          1.75    -600.0E-03
           273            2.    -600.0E-03
           274          2.25    -600.0E-03
           275           2.5    -600.0E-03
           276          2.75    -600.0E-03
           277            3.    -600.0E-03
           278          3.25    -600.0E-03
           279           3.5    -600.0E-03
           280          3.75    -600.0E-03
           281            4.    -600.0E-03
           282          4.25    -600.0E-03
           283           4.5    -600.0E-03
           284          4.75    -600.0E-03
           285            5.    -600.0E-03
           286          5.25    -600.0E-03
           287           5.5    -600.0E-03
           288          5.75    -600.0E-03
           289            6.    -600.0E-03
           290          6.25    -600.0E-03
           291           6.5    -600.0E-03
           292          6.75    -600.0E-03
           293            7.    -600.0E-03
           294          7.25    -600.0E-03
           295           7.5    -600.0E-03
           296          7.75    -600.0E-03
           297            8.    -600.0E-03
           298     1.250E-33    -675.0E-03
           299      250.E-03    -675.0E-03
           300      500.E-03    -675.0E-03
           301      750.E-03    -675.0E-03
           302            1.    -675.0E-03
           303          1.25    -675.0E-03
           304           1.5    -675.0E-03
           305          1.75    -675.0E-03
           306            2.    -675.0E-03
           307          2.25    -675.0E-03
           308           2.5    -675.0E-03
           309          2.75    -675.0E-03
           310            3.    -675.0E-03
           311          3.25    -675.0E-03
           312           3.5    -675.0E-03
           313          3.75    -675.0E-03
           314            4.    -675.0E-03
           315          4.25    -675.0E-03
           316           4.5    -675.0E-03
           317          4.75    -675.0E-03
           318            5.    -675.0E-03
           319          5.25    -675.0E-03
           320           5.5    -675.0E-03
           321          5.75    -675.0E-03
           322            6.    -675.0E-03
           323          6.25    -675.0E-03
           324           6.5    -675.0E-03
           325          6.75    -675.0E-03
           326            7.    -675.0E-03
           327          7.25    -675.0E-03
           328           7.5    -675.0E-03
           329          7.75    -675.0E-03
           330            8.    -675.0E-03
           331     1.250E-33     -750.E-03
           332      250.E-03     -750.E-03
           333      500.E-03     -750.E-03
           334      750.E-03     -750.E-03
           335            1.     -750.E-03
           336          1.25     -750.E-03
           337           1.5     -750.E-03
           338          1.75     -750.E-03
           339            2.     -750.E-03
           340          2.25     -750.E-03
           341           2.5     -750.E-03
           342          2.75     -750.E-03
           343            3.     -750.E-03
           344          3.25     -750.E-03
           345           3.5     -750.E-03
           346          3.75     -750.E-03
           347            4.     -750.E-03
           348          4.25     -750.E-03
           349           4.5     -750.E-03
           350          4.75     -750.E-03
           351            5.     -750.E-03
           352          5.25     -750.E-03
           353           5.5     -750.E-03
           354          5.75     -750.E-03
           355            6.     -750.E-03
           356          6.25     -750.E-03
           357           6.5     -750.E-03
           358          6.75     -750.E-03
           359            7.     -750.E-03
           360          7.25     -750.E-03
           361           7.5     -750.E-03
           362          7.75     -750.E-03
           363            8.     -750.E-03
           364     1.250E-33    -825.0E-03
           365      250.E-03    -825.0E-03
           366      500.E-03    -825.0E-03
           367      750.E-03    -825.0E-03
           368            1.    -825.0E-03
           369          1.25    -825.0E-03
           370           1.5    -825.0E-03
           371          1.75    -825.0E-03
           372            2.    -825.0E-03
           373          2.25    -825.0E-03
           374           2.5    -825.0E-03
           375          2.75    -825.0E-03
           376            3.    -825.0E-03
           377          3.25    -825.0E-03
           378           3.5    -825.0E-03
           379          3.75    -825.0E-03
           380            4.    -825.0E-03
           381          4.25    -825.0E-03
           382           4.5    -825.0E-03
           383          4.75    -825.0E-03
           384            5.    -825.0E-03
           385          5.25    -825.0E-03
           386           5.5    -825.0E-03
           387          5.75    -825.0E-03
           388            6.    -825.0E-03
           389          6.25    -825.0E-03
           390           6.5    -825.0E-03
           391          6.75    -825.0E-03
           392            7.    -825.0E-03
           393          7.25    -825.0E-03
           394           7.5    -825.0E-03
           395          7.75    -825.0E-03
           396            8.    -825.0E-03
           397     1.250E-33    -900.0E-03
