********************************************************************************
Field Output Report, written Fri Jun 30 12:57:12 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_5_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           141     552.1E-36            8.     132.1E-03
           142     1.007E-33            8.     175.4E-03
           143     1.511E-33            8.     218.0E-03
           144     2.081E-33            8.     259.4E-03
           145     2.743E-33            8.     299.1E-03
           146     3.522E-33            8.     336.4E-03
           147     4.513E-33            8.     370.3E-03
           148     5.737E-33            8.     399.4E-03
           149     8.391E-33            8.     421.6E-03
           150     4.676E-33            8.     431.7E-03
           151    -4.751E-33            8.    -386.5E-03
           152    -9.050E-33            8.    -378.2E-03
           153    -6.824E-33            8.    -359.4E-03
           154    -5.594E-33            8.    -334.5E-03
           155    -4.656E-33            8.    -304.9E-03
           156    -3.914E-33            8.    -272.0E-03
           157    -3.291E-33            8.    -236.5E-03
           158    -2.753E-33            8.    -199.2E-03
           159    -2.274E-33            8.    -160.7E-03
           160    -1.838E-33            8.    -121.2E-03
           161    -1.431E-33            8.    -81.09E-03
           162    -1.040E-33            8.    -40.63E-03
           163    -654.7E-36            8.     109.1E-18
           164    -265.5E-36            8.     40.63E-03
           165     137.5E-36            8.     81.09E-03
           166     564.9E-36            8.     121.2E-03
           167     1.028E-33            8.     160.7E-03
           168     1.540E-33            8.     199.2E-03
           169     2.117E-33            8.     236.5E-03
           170     2.785E-33            8.     272.0E-03
           171     3.569E-33            8.     304.9E-03
           172     4.567E-33            8.     334.5E-03
           173     5.800E-33            8.     359.4E-03
           174     8.499E-33            8.     378.2E-03
           175     4.751E-33            8.     386.5E-03
           176    -4.810E-33            8.    -345.6E-03
           177    -9.148E-33            8.    -338.7E-03
           178    -6.896E-33            8.    -322.8E-03
           179    -5.656E-33            8.    -301.3E-03
           180    -4.711E-33            8.    -275.5E-03
           181    -3.964E-33            8.    -246.4E-03
           182    -3.335E-33            8.    -214.8E-03
           183    -2.792E-33            8.    -181.3E-03
           184    -2.308E-33            8.    -146.5E-03
           185    -1.866E-33            8.    -110.6E-03
           186    -1.452E-33            8.    -74.10E-03
           187    -1.054E-33            8.    -37.15E-03
           188    -662.5E-36            8.    -50.22E-18
           189    -266.6E-36            8.     37.15E-03
           190     143.1E-36            8.     74.10E-03
           191     577.0E-36            8.     110.6E-03
           192     1.046E-33            8.     146.5E-03
           193     1.564E-33            8.     181.3E-03
           194     2.146E-33            8.     214.8E-03
           195     2.817E-33            8.     246.4E-03
           196     3.606E-33            8.     275.5E-03
           197     4.609E-33            8.     301.3E-03
           198     5.849E-33            8.     322.8E-03
           199     8.582E-33            8.     338.7E-03
           200     4.810E-33            8.     345.6E-03
           201    -4.857E-33            8.    -308.6E-03
           202    -9.223E-33            8.    -302.7E-03
           203    -6.950E-33            8.    -289.2E-03
           204    -5.702E-33            8.    -270.6E-03
           205    -4.752E-33            8.    -248.0E-03
           206    -4.000E-33            8.    -222.4E-03
           207    -3.368E-33            8.    -194.3E-03
           208    -2.820E-33            8.    -164.3E-03
           209    -2.332E-33            8.    -132.9E-03
           210    -1.885E-33            8.    -100.5E-03
           211    -1.467E-33            8.    -67.40E-03
           212    -1.064E-33            8.    -33.81E-03
           213    -666.8E-36            8.     117.9E-18
           214    -265.7E-36            8.     33.81E-03
           215     149.1E-36            8.     67.40E-03
           216     587.7E-36            8.     100.5E-03
           217     1.061E-33            8.     132.9E-03
           218     1.583E-33            8.     164.3E-03
           219     2.168E-33            8.     194.3E-03
           220     2.843E-33            8.     222.4E-03
           221     3.634E-33            8.     248.0E-03
           222     4.641E-33            8.     270.6E-03
           223     5.886E-33            8.     289.2E-03
           224     8.647E-33            8.     302.7E-03
           225     4.857E-33            8.     308.6E-03
           226    -4.894E-33            8.    -274.9E-03
           227    -9.282E-33            8.    -269.9E-03
           228    -6.991E-33            8.    -258.4E-03
           229    -5.736E-33            8.    -242.3E-03
           230    -4.781E-33            8.    -222.6E-03
           231    -4.026E-33            8.    -200.0E-03
