
                  X              shear3D_8    

                0.              -318.59E-03   
               20.4203          -301.164E-03  
               40.6922          -208.309E-03  
               60.8537          -110.827E-03  
               80.9149            34.3308E-18 
              100.872            110.827E-03  
              120.727            208.309E-03  
              140.466            301.164E-03  
              160.053            318.59E-03   




