********************************************************************************
Field Output Report, written Wed Jul 05 10:40:43 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_20_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2     975.0E-03     859.4E-03
             3         1.515         1.812
             4         1.833         2.876
             5         1.939            4.
             6         1.833         5.124
             7         1.515         6.188
             8     975.0E-03         7.141
             9           -0.            8.
            10     971.8E-36     509.5E-36
            11     407.3E-03     729.2E-03
            12     735.8E-03         1.708
            13     949.4E-03         2.823
            14         1.020            4.
            15     949.4E-03         5.177
            16     735.8E-03         6.292
            17     407.3E-03         7.271
            18     971.8E-36            8.
            19     648.5E-36     429.1E-36
            20     154.8E-03     694.4E-03
            21     296.7E-03         1.664
            22     394.4E-03         2.795
            23     428.1E-03            4.
            24     394.4E-03         5.205
            25     296.7E-03         6.336
            26     154.8E-03         7.306
            27     648.5E-36            8.
            28     346.0E-36     346.0E-36
            29    -115.9E-18     696.1E-03
            30    -208.6E-18         1.655
            31    -114.9E-18         2.787
            32    -225.6E-18            4.
            33    -199.5E-18         5.213
            34     50.87E-18         6.345
            35     54.56E-18         7.304
            36     346.0E-36            8.
            37     82.76E-36     230.5E-36
            38    -154.8E-03     694.4E-03
            39    -296.7E-03         1.664
            40    -394.4E-03         2.795
            41    -428.1E-03            4.
            42    -394.4E-03         5.205
            43    -296.7E-03         6.336
            44    -154.8E-03         7.306
            45     82.76E-36            8.
            46    -479.4E-36     285.5E-36
            47    -407.3E-03     729.2E-03
            48    -735.8E-03         1.708
            49    -949.4E-03         2.823
            50        -1.020            4.
            51    -949.4E-03         5.177
            52    -735.8E-03         6.292
            53    -407.3E-03         7.271
            54    -479.4E-36            8.
            55            0.           -0.
            56    -975.0E-03     859.4E-03
            57        -1.515         1.812
            58        -1.833         2.876
            59        -1.939            4.
            60        -1.833         5.124
            61        -1.515         6.188
            62    -975.0E-03         7.141
            63           -0.            8.
            64     540.1E-03     421.9E-03
            65     607.2E-03     764.7E-03
            66     195.4E-03     304.5E-03
            67           -0.           -0.
            68         1.281         1.325
            69         1.073         1.757
            70     583.2E-03         1.196
            71         1.701         2.332
            72         1.340         2.846
            73     860.4E-03         2.254
            74         1.913         3.434
            75         1.428            4.
            76         1.002         3.407
            77         1.913         4.566
            78         1.340         5.154
            79         1.002         4.593
            80         1.701         5.668
            81         1.073         6.243
            82     860.4E-03         5.746
            83         1.281         6.675
            84     607.2E-03         7.235
            85     583.2E-03         6.804
            86     540.1E-03         7.578
            87           -0.            8.
            88     195.4E-03         7.695
            89     258.2E-03     702.8E-03
            90     80.61E-03     307.3E-03
            91           -0.            0.
            92     488.7E-03         1.680
            93     229.2E-03         1.154
            94     640.8E-03         2.806
            95     352.1E-03         2.215
            96     693.3E-03            4.
            97     419.6E-03         3.393
            98     640.8E-03         5.194
            99     419.6E-03         4.607
           100     488.7E-03         6.320
           101     352.1E-03         5.785
           102     258.2E-03         7.297
           103     229.2E-03         6.846
           104           -0.            8.
           105     80.61E-03         7.693
           106     73.04E-03     695.4E-03
           107    -50.42E-18     312.0E-03
           108           -0.            0.
           109     139.9E-03         1.657
           110    -120.1E-18         1.147
           111     187.2E-03         2.789
           112    -84.78E-18         2.205
           113     204.0E-03            4.
           114    -55.19E-18         3.389
           115     187.2E-03         5.211
           116    -1.248E-18         4.611
           117     139.9E-03         6.343
           118     112.6E-18         5.795
           119     73.04E-03         7.305
           120     272.8E-18         6.853
           121           -0.            8.
           122    -177.5E-18         7.688
           123    -73.04E-03     695.4E-03
           124    -80.61E-03     307.3E-03
           125           -0.            0.
           126    -139.9E-03         1.657
           127    -229.2E-03         1.154
           128    -187.2E-03         2.789
           129    -352.1E-03         2.215
           130    -204.0E-03            4.
           131    -419.6E-03         3.393
           132    -187.2E-03         5.211
           133    -419.6E-03         4.607
           134    -139.9E-03         6.343
           135    -352.1E-03         5.785
           136    -73.04E-03         7.305
           137    -229.2E-03         6.846
           138            0.            8.
           139    -80.61E-03         7.693
           140    -258.2E-03     702.8E-03
           141    -195.4E-03     304.5E-03
           142           -0.           -0.
           143    -488.7E-03         1.680
           144    -583.2E-03         1.196
           145    -640.8E-03         2.806
           146    -860.4E-03         2.254
           147    -693.3E-03            4.
           148        -1.002         3.407
           149    -640.8E-03         5.194
           150        -1.002         4.593
           151    -488.7E-03         6.320
           152    -860.4E-03         5.746
           153    -258.2E-03         7.297
           154    -583.2E-03         6.804
           155           -0.            8.
           156    -195.4E-03         7.695
           157    -607.2E-03     764.7E-03
           158    -540.1E-03     421.9E-03
           159           -0.            0.
           160        -1.073         1.757
           161        -1.281         1.325
           162        -1.340         2.846
           163        -1.701         2.332
           164        -1.428            4.
           165        -1.913         3.434
           166        -1.340         5.154
           167        -1.913         4.566
           168        -1.073         6.243
           169        -1.701         5.668
           170    -607.2E-03         7.235
           171        -1.281         6.675
           172            0.            8.
           173    -540.1E-03         7.578


  Minimum             -1.939            0.
       At Node            59           159

  Maximum              1.939            8.
       At Node             5           172

         Total            0.         692.0


