********************************************************************************
Field Output Report, written Fri Jun 30 12:57:00 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_10_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            0.            8.    -708.0E-03
             2    -7.605E-33            8.    -648.0E-03
             3    -5.606E-33            8.    -506.7E-03
             4    -4.225E-33            8.    -379.1E-03
             5    -3.265E-33            8.    -249.5E-03
             6    -2.447E-33            8.    -124.2E-03
             7    -1.663E-33            8.     31.89E-18
             8    -795.2E-36            8.     124.2E-03
             9     226.5E-36            8.     249.5E-03
            10     1.614E-33            8.     379.1E-03
            11     3.320E-33            8.     506.7E-03
            12     7.355E-33            8.     648.0E-03
            13           -0.            8.     708.0E-03
            14    -14.34E-33            8.    -587.8E-03
            15    -24.78E-33            8.    -537.9E-03
            16    -16.13E-33            8.    -442.1E-03
            17    -11.21E-33            8.    -332.3E-03
            18    -7.576E-33            8.    -221.8E-03
            19    -4.624E-33            8.    -110.6E-03
            20    -1.924E-33            8.     61.59E-18
            21     859.0E-36            8.     110.6E-03
            22     4.019E-33            8.     221.8E-03
            23     8.086E-33            8.     332.3E-03
            24     13.39E-33            8.     442.1E-03
            25     24.01E-33            8.     537.9E-03
            26     14.34E-33            8.     587.8E-03
            27    -15.14E-33            8.    -475.5E-03
            28    -26.60E-33            8.    -440.7E-03
            29    -17.58E-33            8.    -370.0E-03
            30    -12.42E-33            8.    -284.2E-03
            31    -8.502E-33            8.    -191.3E-03
            32    -5.297E-33            8.    -96.12E-03
            33    -2.343E-33            8.    -82.37E-18
            34     693.5E-36            8.     96.12E-03
            35     4.133E-33            8.     191.3E-03
            36     8.500E-33            8.     284.2E-03
            37     14.17E-33            8.     370.0E-03
            38     25.25E-33            8.     440.7E-03
            39     15.14E-33            8.     475.5E-03
