********************************************************************************
Field Output Report, written Wed Jul 05 10:41:20 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
           140         1.471         6.124     35.86E-03
           141        -1.468         6.123    -815.8E-36
           142    -704.5E-03         6.256    -2.473E-33
           143    -282.0E-03         6.316    -1.067E-33
           144    -40.21E-18         6.329     303.2E-36
           145     282.0E-03         6.316     1.785E-33
           146     704.5E-03         6.256     3.590E-33
           147         1.468         6.123     815.8E-36
           148        -1.675         5.208    -237.9E-03
           149    -798.5E-03         5.260    -164.2E-03
           150    -310.5E-03         5.288    -84.61E-03
           151    -323.1E-18         5.296     85.75E-18
           152     310.5E-03         5.288     84.61E-03
           153     798.5E-03         5.260     164.2E-03
           154         1.675         5.208     237.9E-03
           155        -1.791         5.147    -175.3E-03
           156    -903.3E-03         5.200    -125.0E-03
           157    -366.8E-03         5.228    -65.56E-03
           158     343.2E-18         5.236    -83.80E-18
           159     366.8E-03         5.228     65.56E-03
           160     903.3E-03         5.200     125.0E-03
           161         1.791         5.147     175.3E-03
           162        -1.810         5.112    -118.8E-03
           163    -934.3E-03         5.170    -88.35E-03
           164    -386.2E-03         5.201    -47.17E-03
           165    -29.73E-18         5.210    -202.6E-18
           166     386.2E-03         5.201     47.17E-03
           167     934.3E-03         5.170     88.35E-03
           168         1.810         5.112     118.8E-03
           169        -1.801         5.096    -74.75E-03
           170    -935.0E-03         5.158    -57.99E-03
           171    -388.5E-03         5.192    -31.46E-03
           172     118.9E-18         5.201    -52.49E-18
           173     388.5E-03         5.192     31.46E-03
           174     935.0E-03         5.158     57.99E-03
           175         1.801         5.096     74.75E-03
           176        -1.787         5.089    -42.86E-03
           177    -927.2E-03         5.155    -34.33E-03
           178    -385.1E-03         5.190    -18.88E-03
           179    -168.6E-18         5.200    -57.08E-18
           180     385.1E-03         5.190     18.88E-03
           181     927.2E-03         5.155     34.33E-03
           182         1.787         5.089     42.86E-03
           183        -1.778         5.087    -19.37E-03
           184    -920.3E-03         5.154    -15.82E-03
           185    -381.6E-03         5.190    -8.778E-03
           186     49.12E-18         5.201    -126.7E-18
           187     381.6E-03         5.190     8.778E-03
           188     920.3E-03         5.154     15.82E-03
           189         1.778         5.087     19.37E-03
           190        -1.774         5.087    -272.3E-36
           191    -917.8E-03         5.154    -1.076E-33
           192    -380.3E-03         5.191    -443.0E-36
           193     44.36E-18         5.202     167.0E-36
           194     380.3E-03         5.191     811.1E-36
           195     917.8E-03         5.154     1.510E-33
           196         1.774         5.087     272.3E-36
