
                  X              shear2D_8    

                0.                 0.         
               20.5283          -523.159E-03  
               40.7691          -759.123E-03  
               60.9472          -930.024E-03  
               81.0073          -982.326E-03  
              100.963           -930.024E-03  
              120.799           -759.123E-03  
              140.568           -523.159E-03  
              160.05               0.         




