
                  X              shear2D_32   

                0.                -0.         
                5.18965         -187.859E-03  
               10.2894          -286.872E-03  
               15.4044          -400.634E-03  
               20.4865          -481.736E-03  
               25.5745          -568.415E-03  
               30.6427          -635.415E-03  
               35.712           -703.193E-03  
               40.7676          -757.292E-03  
               45.8211          -809.15E-03   
               50.8643          -850.673E-03  
               55.9034          -887.969E-03  
               60.9341          -916.893E-03  
               65.9595          -940.322E-03  
               70.9776          -956.493E-03  
               75.9896          -966.461E-03  
               80.9948          -969.676E-03  
               85.9936          -966.461E-03  
               90.9856          -956.493E-03  
               95.9714          -940.322E-03  
              100.95            -916.893E-03  
              105.923           -887.969E-03  
              110.887           -850.673E-03  
              115.848           -809.15E-03   
              120.797           -757.292E-03  
              125.745           -703.193E-03  
              130.679           -635.415E-03  
              135.613           -568.415E-03  
              140.527           -481.736E-03  
              145.447           -400.634E-03  
              150.335           -286.872E-03  
              155.237           -187.859E-03  
              160.051              0.         




