********************************************************************************
Field Output Report, written Fri Jun 30 12:57:06 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_20_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.            8.    -637.2E-03
             2    -22.23E-33            8.    -523.5E-03
             3    -14.48E-33            8.    -244.7E-03
             4    -7.537E-33            8.    -16.56E-18
             5     106.8E-36            8.     244.7E-03
             6     19.32E-33            8.     523.5E-03
             7           -0.            8.     637.2E-03
             8    -49.09E-33            8.    -453.1E-03
             9    -71.33E-33            8.    -366.4E-03
            10    -33.07E-33            8.    -194.6E-03
            11    -8.237E-33            8.    -267.9E-18
            12     17.52E-33            8.     194.6E-03
            13     67.00E-33            8.     366.4E-03
            14     49.09E-33            8.     453.1E-03
            15    -50.94E-33            8.    -294.5E-03
            16    -75.95E-33            8.    -242.9E-03
            17    -35.74E-33            8.    -133.5E-03
            18    -8.986E-33            8.    -184.5E-18
            19     19.23E-33            8.     133.5E-03
            20     70.44E-33            8.     242.9E-03
            21     50.94E-33            8.     294.5E-03
            22    -51.63E-33            8.    -183.2E-03
            23    -77.20E-33            8.    -153.3E-03
            24    -36.39E-33            8.    -84.99E-03
            25    -8.870E-33            8.    -106.1E-18
            26     19.75E-33            8.     84.99E-03
            27     71.46E-33            8.     153.3E-03
            28     51.63E-33            8.     183.2E-03
            29    -51.89E-33            8.    -105.0E-03
            30    -77.46E-33            8.    -88.69E-03
            31    -36.45E-33            8.    -49.69E-03
            32    -8.770E-33            8.    -86.90E-18
            33     19.92E-33            8.     49.69E-03
            34     71.80E-33            8.     88.69E-03
            35     51.89E-33            8.     105.0E-03
            36    -52.00E-33            8.    -47.55E-03
            37    -77.49E-33            8.    -40.39E-03
            38    -36.41E-33            8.    -22.78E-03
