
                  X              shear3D_16   

                0.              -353.987E-03  
               10.243           -350.114E-03  
               20.4262          -310.849E-03  
               30.5735          -271.193E-03  
               40.6933          -222.32E-03   
               50.7869          -170.479E-03  
               60.8552          -115.165E-03  
               70.8981           -58.0844E-03 
               80.9157          -193.986E-18  
               90.9077            58.0844E-03 
              100.874            115.165E-03  
              110.814            170.479E-03  
              120.728            222.32E-03   
              130.615            271.193E-03  
              140.473            310.849E-03  
              150.294            350.114E-03  
              160.054            353.987E-03  




