********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           223     490.1E-03         6.314
           224     438.3E-03         6.576
           225     382.0E-03         6.827
           226     322.0E-03         7.066
           227     259.2E-03         7.291
           228     195.0E-03         7.501
           229     130.2E-03         7.690
           230     65.32E-03         7.858
           231     203.3E-36            8.
           232     180.4E-36     113.4E-36
           233     51.86E-03     143.4E-03
           234     103.0E-03     309.6E-03
           235     153.9E-03     497.2E-03
           236     204.4E-03     703.8E-03
           237     253.8E-03     927.0E-03
           238     301.5E-03         1.165
           239     346.6E-03         1.415
           240     388.3E-03         1.676
           241     426.2E-03         1.947
           242     459.6E-03         2.226
           243     488.4E-03         2.511
           244     512.2E-03         2.802
           245     530.9E-03         3.098
           246     544.3E-03         3.397
           247     552.4E-03         3.698
           248     555.1E-03            4.
           249     552.4E-03         4.302
           250     544.3E-03         4.603
           251     530.9E-03         4.902
           252     512.2E-03         5.198
           253     488.4E-03         5.489
           254     459.6E-03         5.774
           255     426.2E-03         6.053
           256     388.3E-03         6.324
           257     346.6E-03         6.585
           258     301.5E-03         6.835
           259     253.8E-03         7.073
           260     204.4E-03         7.296
           261     153.9E-03         7.503
           262     103.0E-03         7.690
           263     51.86E-03         7.857
           264     180.4E-36            8.
           265     160.0E-36     108.3E-36
           266     39.92E-03     144.7E-03
           267     79.10E-03     310.6E-03
           268     117.9E-03     496.7E-03
           269     156.4E-03     701.4E-03
           270     194.2E-03     922.9E-03
           271     230.7E-03         1.159
           272     265.5E-03         1.409
           273     297.9E-03         1.669
           274     327.4E-03         1.940
           275     353.6E-03         2.219
           276     376.2E-03         2.505
           277     395.0E-03         2.797
           278     409.7E-03         3.094
           279     420.3E-03         3.394
           280     426.7E-03         3.696
           281     428.9E-03            4.
           282     426.7E-03         4.304
           283     420.3E-03         4.606
           284     409.7E-03         4.906
           285     395.0E-03         5.203
           286     376.2E-03         5.495
           287     353.6E-03         5.781
           288     327.4E-03         6.060
           289     297.9E-03         6.331
           290     265.5E-03         6.591
           291     230.7E-03         6.841
           292     194.2E-03         7.077
           293     156.4E-03         7.299
           294     117.9E-03         7.503
           295     79.10E-03         7.689
           296     39.92E-03         7.855
           297     160.0E-36            8.
           298     141.3E-36     103.6E-36
           299     29.08E-03     146.0E-03
           300     57.50E-03     311.8E-03
           301     85.58E-03     497.1E-03
           302     113.4E-03     700.5E-03
           303     140.7E-03     920.6E-03
           304     167.2E-03         1.156
           305     192.4E-03         1.404
           306     216.1E-03         1.665
           307     237.7E-03         1.935
           308     257.0E-03         2.215
           309     273.7E-03         2.501
           310     287.6E-03         2.794
           311     298.6E-03         3.091
           312     306.5E-03         3.392
           313     311.2E-03         3.696
           314     312.8E-03            4.
           315     311.2E-03         4.304
           316     306.5E-03         4.608
           317     298.6E-03         4.909
           318     287.6E-03         5.206
           319     273.7E-03         5.499
           320     257.0E-03         5.785
           321     237.7E-03         6.065
           322     216.1E-03         6.335
           323     192.4E-03         6.596
           324     167.2E-03         6.844
           325     140.7E-03         7.079
           326     113.4E-03         7.300
           327     85.58E-03         7.503
           328     57.50E-03         7.688
           329     29.08E-03         7.854
           330     141.3E-36            8.
           331     123.5E-36     98.88E-36
           332     18.99E-03     147.0E-03
           333     37.50E-03     313.0E-03
           334     55.74E-03     497.7E-03
           335     73.77E-03     700.3E-03
           336     91.50E-03     919.5E-03
           337     108.7E-03         1.154
           338     125.2E-03         1.402
           339     140.7E-03         1.662
           340     154.8E-03         1.932
           341     167.5E-03         2.212
           342     178.5E-03         2.498
           343     187.7E-03         2.791
           344     194.9E-03         3.089
           345     200.1E-03         3.391
           346     203.3E-03         3.695
           347     204.3E-03            4.
           348     203.3E-03         4.305
           349     200.1E-03         4.609
           350     194.9E-03         4.911
           351     187.7E-03         5.209
           352     178.5E-03         5.502
           353     167.5E-03         5.788
           354     154.8E-03         6.068
           355     140.7E-03         6.338
           356     125.2E-03         6.598
           357     108.7E-03         6.846
           358     91.50E-03         7.080
           359     73.77E-03         7.300
           360     55.74E-03         7.502
           361     37.50E-03         7.687
           362     18.99E-03         7.853
           363     123.5E-36            8.
           364     106.3E-36     94.09E-36
           365     9.379E-03     147.6E-03
           366     18.51E-03     313.7E-03
           367     27.49E-03     498.2E-03
           368     36.36E-03     700.3E-03
           369     45.08E-03     919.0E-03
           370     53.56E-03         1.153
           371     61.69E-03         1.400
           372     69.32E-03         1.660
           373     76.33E-03         1.930
           374     82.62E-03         2.210
           375     88.07E-03         2.497
           376     92.63E-03         2.790
           377     96.22E-03         3.088
           378     98.82E-03         3.390
           379     100.4E-03         3.694
