********************************************************************************
Field Output Report, written Fri Jun 30 12:56:43 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_10_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2     632.9E-03     487.4E-03
             3     954.4E-03     863.2E-03
             4         1.292         1.340
             5         1.514         1.813
             6         1.711         2.340
             7         1.837         2.876
             8         1.918         3.436
             9         1.944            4.
            10         1.918         4.564
            11         1.837         5.124
            12         1.711         5.660
            13         1.514         6.187
            14         1.292         6.660
            15     954.4E-03         7.137
            16     632.9E-03         7.513
            17            0.            8.
            18     1.856E-33     926.4E-36
            19     263.9E-03     321.9E-03
            20     639.7E-03     808.0E-03
            21     858.1E-03         1.245
            22         1.084         1.769
            23         1.228         2.287
            24         1.346         2.852
            25         1.410         3.419
            26         1.433            4.
            27         1.410         4.581
            28         1.346         5.148
            29         1.228         5.713
            30         1.084         6.231
            31     858.1E-03         6.755
            32     639.7E-03         7.192
            33     263.9E-03         7.678
            34     1.856E-33            8.
            35     1.412E-33     759.0E-36
            36     210.7E-03     313.1E-03
            37     369.5E-03     713.0E-03
            38     594.4E-03         1.215
            39     730.4E-03         1.706
            40     868.0E-03         2.264
            41     949.1E-03         2.821
            42         1.006         3.410
            43         1.022            4.
            44         1.006         4.590
            45     949.1E-03         5.179
            46     868.0E-03         5.736
            47     730.4E-03         6.294
            48     594.4E-03         6.785
            49     369.5E-03         7.287
            50     210.7E-03         7.687
            51     1.412E-33            8.
            52     1.116E-33     734.4E-36
            53     120.7E-03     305.1E-03
            54     266.4E-03     707.0E-03
            55     364.4E-03         1.161
            56     494.6E-03         1.691
            57     571.8E-03         2.227
            58     644.8E-03         2.811
            59     680.2E-03         3.398
            60     696.2E-03            4.
            61     680.2E-03         4.602
            62     644.8E-03         5.189
            63     571.8E-03         5.773
            64     494.6E-03         6.309
            65     364.4E-03         6.839
            66     266.4E-03         7.293
            67     120.7E-03         7.695
            68     1.116E-33            8.
            69     879.0E-36     657.1E-36
            70     82.42E-03     309.7E-03
            71     147.4E-03     695.4E-03
            72     234.3E-03         1.158
            73     288.8E-03         1.661
            74     355.3E-03         2.221
            75     391.9E-03         2.792
            76     421.5E-03         3.395
            77     427.9E-03            4.
            78     421.5E-03         4.605
            79     391.9E-03         5.208
            80     355.3E-03         5.779
            81     288.8E-03         6.339
            82     234.3E-03         6.842
            83     147.4E-03         7.305
            84     82.42E-03         7.690
            85     879.0E-36            8.
            86     666.3E-36     600.5E-36
            87     35.49E-03     312.3E-03
            88     75.79E-03     698.6E-03
            89     103.8E-03         1.147
            90     141.8E-03         1.661
            91     164.1E-03         2.204
            92     188.2E-03         2.792
            93     199.1E-03         3.388
            94     204.8E-03            4.
            95     199.1E-03         4.612
            96     188.2E-03         5.208
            97     164.1E-03         5.796
            98     141.8E-03         6.339
            99     103.8E-03         6.853
           100     75.79E-03         7.301
           101     35.49E-03         7.688
           102     666.3E-36            8.
           103     469.1E-36     534.8E-36
           104     30.99E-18     313.6E-03
