********************************************************************************
Field Output Report, written Fri Jun 30 12:56:54 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
           223     487.2E-03         6.317
           224     440.3E-03         6.574
           225     377.5E-03         6.830
           226     324.5E-03         7.065
           227     254.2E-03         7.294
           228     197.8E-03         7.500
           229     126.9E-03         7.692
           230     66.74E-03         7.858
           231     582.6E-36            8.
           232     519.5E-36     346.7E-36
           233     50.70E-03     143.3E-03
           234     104.8E-03     309.7E-03
           235     150.7E-03     495.8E-03
           236     206.6E-03     704.2E-03
           237     249.9E-03     924.7E-03
           238     303.3E-03         1.166
           239     343.3E-03         1.413
           240     389.7E-03         1.678
           241     424.0E-03         1.945
           242     460.6E-03         2.227
           243     487.3E-03         2.510
           244     513.0E-03         2.803
           245     530.4E-03         3.097
           246     544.9E-03         3.397
           247     552.2E-03         3.697
           248     555.6E-03            4.
           249     552.2E-03         4.303
           250     544.9E-03         4.603
           251     530.4E-03         4.903
           252     513.0E-03         5.197
           253     487.3E-03         5.490
           254     460.6E-03         5.773
           255     424.0E-03         6.055
           256     389.7E-03         6.322
           257     343.3E-03         6.587
           258     303.3E-03         6.834
           259     249.9E-03         7.075
           260     206.6E-03         7.296
           261     150.7E-03         7.504
           262     104.8E-03         7.690
           263     50.70E-03         7.857
           264     519.5E-36            8.
           265     459.1E-36     328.6E-36
           266     40.63E-03     144.8E-03
           267     77.51E-03     310.2E-03
           268     119.5E-03     496.8E-03
           269     153.7E-03     700.0E-03
           270     195.7E-03     923.3E-03
           271     227.8E-03         1.157
           272     266.7E-03         1.410
           273     295.6E-03         1.667
           274     328.2E-03         1.941
           275     352.1E-03         2.217
           276     376.8E-03         2.506
           277     394.2E-03         2.796
           278     410.2E-03         3.095
           279     420.0E-03         3.393
           280     427.2E-03         3.697
           281     428.6E-03            4.
           282     427.2E-03         4.303
           283     420.0E-03         4.607
           284     410.2E-03         4.905
           285     394.2E-03         5.204
           286     376.8E-03         5.494
           287     352.1E-03         5.783
           288     328.2E-03         6.059
           289     295.6E-03         6.333
           290     266.7E-03         6.590
           291     227.8E-03         6.843
           292     195.7E-03         7.077
           293     153.7E-03         7.300
           294     119.5E-03         7.503
           295     77.51E-03         7.690
           296     40.63E-03         7.855
           297     459.1E-36            8.
           298     405.2E-36     315.1E-36
           299     28.54E-03     146.1E-03
           300     58.37E-03     311.9E-03
           301     84.03E-03     496.5E-03
           302     114.5E-03     700.6E-03
           303     138.6E-03     919.2E-03
           304     168.2E-03         1.156
           305     190.5E-03         1.403
           306     216.9E-03         1.665
           307     236.3E-03         1.934
           308     257.6E-03         2.215
           309     272.8E-03         2.500
           310     288.0E-03         2.794
           311     298.1E-03         3.090
           312     306.8E-03         3.393
           313     311.0E-03         3.695
           314     313.1E-03            4.
           315     311.0E-03         4.305
           316     306.8E-03         4.607
           317     298.1E-03         4.910
           318     288.0E-03         5.206
           319     272.8E-03         5.500
           320     257.6E-03         5.785
           321     236.3E-03         6.066
           322     216.9E-03         6.335
           323     190.5E-03         6.597
           324     168.2E-03         6.844
           325     138.6E-03         7.081
           326     114.5E-03         7.299
           327     84.03E-03         7.504
           328     58.37E-03         7.688
           329     28.54E-03         7.854
           330     405.2E-36            8.
           331     352.8E-36     299.3E-36
           332     19.29E-03     147.1E-03
           333     36.83E-03     312.9E-03
           334     56.44E-03     497.7E-03
           335     72.58E-03     699.5E-03
           336     92.23E-03     919.6E-03
           337     107.4E-03         1.152
           338     125.8E-03         1.402
           339     139.5E-03         1.660
           340     155.3E-03         1.933
           341     166.7E-03         2.210
           342     178.8E-03         2.499
           343     187.2E-03         2.790
           344     195.1E-03         3.090
           345     199.9E-03         3.390
           346     203.5E-03         3.695
           347     204.1E-03            4.
           348     203.5E-03         4.305
           349     199.9E-03         4.610
           350     195.1E-03         4.910
           351     187.2E-03         5.210
           352     178.8E-03         5.501
           353     166.7E-03         5.790
           354     155.3E-03         6.067
           355     139.5E-03         6.340
           356     125.8E-03         6.598
           357     107.4E-03         6.848
           358     92.23E-03         7.080
           359     72.58E-03         7.301
           360     56.44E-03         7.502
           361     36.83E-03         7.687
           362     19.29E-03         7.853
           363     352.8E-36            8.
           364     300.9E-36     283.5E-36
           365     9.219E-03     147.8E-03
           366     18.77E-03     313.8E-03
           367     27.02E-03     497.9E-03
           368     36.73E-03     700.3E-03
           369     44.43E-03     918.0E-03
           370     53.89E-03         1.153
           371     61.04E-03         1.399
           372     69.56E-03         1.660
           373     75.82E-03         1.929
           374     82.79E-03         2.210
           375     87.74E-03         2.495
           376     92.75E-03         2.790
           377     96.03E-03         3.087
           378     98.92E-03         3.390
           379     100.3E-03         3.694
           380     101.0E-03            4.
           381     100.3E-03         4.306
           382     98.92E-03         4.610
           383     96.03E-03         4.913
           384     92.75E-03         5.210
           385     87.74E-03         5.505
           386     82.79E-03         5.790
           387     75.82E-03         6.071
           388     69.56E-03         6.340
           389     61.04E-03         6.601
           390     53.89E-03         6.847
           391     44.43E-03         7.082
           392     36.73E-03         7.300
           393     27.02E-03         7.502
           394     18.77E-03         7.686
           395     9.219E-03         7.852
           396     300.9E-36            8.
           397     250.0E-36     267.5E-36
           398     19.99E-18     147.9E-03
           399    -6.779E-18     314.0E-03
           400     57.23E-18     498.4E-03
           401    -4.246E-18     699.7E-03
           402     42.49E-18     918.9E-03
