********************************************************************************
Field Output Report, written Wed Jul 05 10:40:36 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_10_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2     588.4E-03     446.4E-03
             3     968.1E-03     872.1E-03
             4         1.273         1.328
             5         1.515         1.817
             6         1.701         2.335
             7         1.833         2.877
             8         1.912         3.434
             9         1.938            4.
            10         1.912         4.566
            11         1.833         5.123
            12         1.701         5.665
            13         1.515         6.183
            14         1.273         6.672
            15     968.1E-03         7.128
            16     588.4E-03         7.554
            17           -0.            8.
            18     681.1E-36     315.3E-36
            19     320.5E-03     351.8E-03
            20     615.3E-03     781.7E-03
            21     869.3E-03         1.254
            22         1.072         1.758
            23         1.229         2.292
            24         1.340         2.848
            25         1.406         3.420
            26         1.428            4.
            27         1.406         4.580
            28         1.340         5.152
            29         1.229         5.708
            30         1.072         6.242
            31     869.3E-03         6.746
            32     615.3E-03         7.218
            33     320.5E-03         7.648
            34     681.1E-36            8.
            35     530.6E-36     269.2E-36
            36     199.5E-03     313.9E-03
            37     400.2E-03     729.3E-03
            38     584.0E-03         1.202
            39     739.2E-03         1.714
            40     861.7E-03         2.257
            41     949.6E-03         2.825
            42         1.002         3.408
            43         1.020            4.
            44         1.002         4.592
            45     949.6E-03         5.175
            46     861.7E-03         5.743
            47     739.2E-03         6.286
            48     584.0E-03         6.798
            49     400.2E-03         7.271
            50     199.5E-03         7.686
            51     530.6E-36            8.
            52     404.3E-36     237.4E-36
            53     130.1E-03     308.4E-03
            54     258.9E-03     707.2E-03
            55     381.4E-03         1.172
            56     489.7E-03         1.685
            57     577.5E-03         2.233
            58     641.7E-03         2.808
            59     680.7E-03         3.400
            60     693.7E-03            4.
            61     680.7E-03         4.600
            62     641.7E-03         5.192
            63     577.5E-03         5.767
            64     489.7E-03         6.315
            65     381.4E-03         6.828
            66     258.9E-03         7.293
            67     130.1E-03         7.692
            68     404.3E-36            8.
            69     319.4E-36     216.3E-36
            70     78.99E-03     309.8E-03
            71     156.1E-03     700.2E-03
            72     230.4E-03         1.158
            73     297.5E-03         1.668
            74     353.3E-03         2.218
            75     394.7E-03         2.797
            76     420.1E-03         3.394
            77     428.7E-03            4.
            78     420.1E-03         4.606
            79     394.7E-03         5.203
            80     353.3E-03         5.782
            81     297.5E-03         6.332
            82     230.4E-03         6.842
            83     156.1E-03         7.300
            84     78.99E-03         7.690
            85     319.4E-36            8.
            86     246.4E-36     197.3E-36
            87     37.47E-03     312.4E-03
            88     73.67E-03     699.3E-03
            89     108.6E-03         1.153
            90     140.5E-03         1.661
            91     167.4E-03         2.211
            92     187.5E-03         2.791
            93     200.0E-03         3.391
            94     204.2E-03            4.
            95     200.0E-03         4.609
            96     187.5E-03         5.209
            97     167.4E-03         5.789
            98     140.5E-03         6.339
            99     108.6E-03         6.847
           100     73.67E-03         7.301
           101     37.47E-03         7.688
           102     246.4E-36            8.
           103     177.5E-36     177.4E-36
           104    -13.99E-18     313.4E-03
