********************************************************************************
Field Output Report, written Wed Jul 05 10:41:13 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_10_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.            8.    -780.8E-03
             2     2.803E-33            8.    -646.1E-03
             3     1.963E-33            8.    -513.0E-03
             4     1.575E-33            8.    -379.3E-03
             5     1.243E-33            8.    -249.8E-03
             6     964.0E-36            8.    -123.9E-03
             7     685.6E-36            8.    -33.14E-18
             8     375.1E-36            8.     123.9E-03
             9    -9.675E-36            8.     249.8E-03
            10    -514.8E-36            8.     379.3E-03
            11    -1.364E-33            8.     513.0E-03
            12    -2.596E-33            8.     646.1E-03
            13           -0.            8.     780.8E-03
            14     2.110E-33            8.    -610.4E-03
            15     8.213E-33            8.    -543.3E-03
            16     5.293E-33            8.    -443.1E-03
            17     3.632E-33            8.    -333.2E-03
            18     2.417E-33            8.    -221.7E-03
            19     1.424E-33            8.    -110.6E-03
            20     505.1E-36            8.     269.9E-18
            21    -448.0E-36            8.     110.6E-03
            22    -1.554E-33            8.     221.7E-03
            23    -2.949E-33            8.     333.2E-03
            24    -5.093E-33            8.     443.1E-03
            25    -8.317E-33            8.     543.3E-03
            26    -2.110E-33            8.     610.4E-03
            27     2.143E-33            8.    -488.2E-03
            28     8.938E-33            8.    -446.0E-03
            29     5.792E-33            8.    -371.8E-03
            30     4.033E-33            8.    -284.3E-03
            31     2.731E-33            8.    -191.2E-03
            32     1.659E-33            8.    -95.95E-03
            33     662.2E-36            8.    -114.8E-18
            34    -370.4E-36            8.     95.95E-03
            35    -1.561E-33            8.     191.2E-03
            36    -3.046E-33            8.     284.3E-03
            37    -5.314E-33            8.     371.8E-03
            38    -8.621E-33            8.     446.0E-03
            39    -2.143E-33            8.     488.2E-03
